137 1
1.0000000 0.0000000 0.0015170
0.9993980 0.0000000 0.0018261
0.9975920 0.0000000 0.0027317
0.9945880 0.0000000 0.0041693
0.9903930 0.0000000 0.0060431
0.9850160 0.0000000 0.0082396
0.9784700 0.0000000 0.0106421
0.9707720 0.0000000 0.0131455
0.9619400 0.0000000 0.0156701
0.9519950 0.0000000 0.0181662
0.9409610 0.0000000 0.0206165
0.9288640 0.0000000 0.0230310
0.9157350 0.0000000 0.0254380
0.9016040 0.0000000 0.0278746
0.8865050 0.0000000 0.0303740
0.8704760 0.0000000 0.0329566
0.8535530 0.0000000 0.0356247
0.8357790 0.0000000 0.0383583
0.8171970 0.0000000 0.0411185
0.7978500 0.0000000 0.0438520
0.7777850 0.0000000 0.0464977
0.7570510 0.0000000 0.0489940
0.7356980 0.0000000 0.0512865
0.7137780 0.0000000 0.0533329
0.6913420 0.0000000 0.0551066
0.6684450 0.0000000 0.0565968
0.6451420 0.0000000 0.0578074
0.6214900 0.0000000 0.0587541
0.5975450 0.0000000 0.0594606
0.5733650 0.0000000 0.0599540
0.5490090 0.0000000 0.0602616
0.5245340 0.0000000 0.0604077
0.5000000 0.0000000 0.0604122
0.4754660 0.0000000 0.0602896
0.4509910 0.0000000 0.0600495
0.4266350 0.0000000 0.0596978
0.4024550 0.0000000 0.0592375
0.3785100 0.0000000 0.0586702
0.3548580 0.0000000 0.0579968
0.3315550 0.0000000 0.0572177
0.3086580 0.0000000 0.0563327
0.2862220 0.0000000 0.0553406
0.2643020 0.0000000 0.0542388
0.2429490 0.0000000 0.0530230
0.2222150 0.0000000 0.0516877
0.2021500 0.0000000 0.0502267
0.1828030 0.0000000 0.0486351
0.1642210 0.0000000 0.0469103
0.1464470 0.0000000 0.0450527
0.1295240 0.0000000 0.0430671
0.1134950 0.0000000 0.0409622
0.0983960 0.0000000 0.0387478
0.0842650 0.0000000 0.0364345
0.0711360 0.0000000 0.0340296
0.0590390 0.0000000 0.0315349
0.0480050 0.0000000 0.0289466
0.0380600 0.0000000 0.0262541
0.0292280 0.0000000 0.0234426
0.0215300 0.0000000 0.0204964
0.0149840 0.0000000 0.0174028
0.0096070 0.0000000 0.0141579
0.0054120 0.0000000 0.0107692
0.0036000 0.0000000 0.0088364
0.0024080 0.0000000 0.0072562
0.0018000 0.0000000 0.0062867
0.0012000 0.0000000 0.0051436
0.0006020 0.0000000 0.0036506
0.0003000 0.0000000 0.0025797
0.0000000 0.0000000 0.0000000
0.0003000 0.0000000 -0.0024558
0.0006020 0.0000000 -0.0034746
0.0012000 0.0000000 -0.0048936
0.0018000 0.0000000 -0.0059787
0.0024080 0.0000000 -0.0068981
0.0036000 0.0000000 -0.0083942
0.0054120 0.0000000 -0.0102194
0.0096070 0.0000000 -0.0134051
0.0149840 0.0000000 -0.0164379
0.0215300 0.0000000 -0.0193164
0.0292280 0.0000000 -0.0220536
0.0380600 0.0000000 -0.0246733
0.0480050 0.0000000 -0.0272030
0.0590390 0.0000000 -0.0296685
0.0711360 0.0000000 -0.0320889
0.0842650 0.0000000 -0.0344741
0.0983960 0.0000000 -0.0368243
0.1134950 0.0000000 -0.0391312
0.1295240 0.0000000 -0.0413806
0.1464470 0.0000000 -0.0435561
0.1642210 0.0000000 -0.0456405
0.1828030 0.0000000 -0.0476186
0.2021500 0.0000000 -0.0494770
0.2222150 0.0000000 -0.0512026
0.2429490 0.0000000 -0.0527809
0.2643020 0.0000000 -0.0541944
0.2862220 0.0000000 -0.0554210
0.3086580 0.0000000 -0.0564343
0.3315550 0.0000000 -0.0572042
0.3548580 0.0000000 -0.0576998
0.3785100 0.0000000 -0.0578919
0.4024550 0.0000000 -0.0577562
0.4266350 0.0000000 -0.0572755
0.4509910 0.0000000 -0.0564408
0.4754660 0.0000000 -0.0552513
0.5000000 0.0000000 -0.0537132
0.5245340 0.0000000 -0.0518376
0.5490090 0.0000000 -0.0496394
0.5733650 0.0000000 -0.0471353
0.5975450 0.0000000 -0.0443437
0.6214900 0.0000000 -0.0412857
0.6451420 0.0000000 -0.0379863
0.6684450 0.0000000 -0.0344764
0.6913420 0.0000000 -0.0307944
0.7137780 0.0000000 -0.0269869
0.7356980 0.0000000 -0.0231092
0.7570510 0.0000000 -0.0192223
0.7777850 0.0000000 -0.0153925
0.7978500 0.0000000 -0.0116874
0.8171970 0.0000000 -0.0081736
0.8357790 0.0000000 -0.0049142
0.8535530 0.0000000 -0.0019667
0.8704760 0.0000000 0.0006171
0.8865050 0.0000000 0.0027926
0.9016040 0.0000000 0.0045235
0.9157350 0.0000000 0.0057835
0.9288640 0.0000000 0.0065590
0.9409610 0.0000000 0.0068526
0.9519950 0.0000000 0.0066871
0.9619400 0.0000000 0.0061088
0.9707720 0.0000000 0.0051887
0.9784700 0.0000000 0.0040220
0.9850160 0.0000000 0.0027231
0.9903930 0.0000000 0.0014191
0.9945880 0.0000000 0.0002382
0.9975920 0.0000000 -0.0007024
0.9993980 0.0000000 -0.0013081
1.0000000 0.0000000 -0.0015170
