NACA 66(3)-218
1.00000000 0.00000000
0.95030000 0.00961000
0.90060000 0.02230000
0.85081000 0.03606000
0.80093000 0.05001000
0.75095000 0.06345000
0.70089000 0.07568000
0.65075000 0.08610000
0.60054000 0.09394000
0.55028000 0.09828000
0.50000000 0.10045000
0.44971000 0.10093000
0.39942000 0.09989000
0.34914000 0.09731000
0.29887000 0.09317000
0.24863000 0.08742000
0.19841000 0.07982000
0.14825000 0.07004000
0.09818000 0.05724000
0.07320000 0.04933000
0.04827000 0.04002000
0.02346000 0.02828000
0.01115000 0.02054000
0.00628000 0.01636000
0.00389000 0.01368000
0.00000000 0.00000000
0.00000000 0.00000000
0.00611000 -0.01268000
0.00872000 -0.01496000
0.01385000 -0.01840000
0.02654000 -0.02456000
0.05173000 -0.03370000
0.07680000 -0.04085000
0.10182000 -0.04690000
0.15175000 -0.05658000
0.20159000 -0.06390000
0.25137000 -0.06952000
0.30113000 -0.07373000
0.35086000 -0.07671000
0.40058000 -0.07847000
0.45029000 -0.07903000
0.50000000 -0.07839000
0.54972000 -0.07638000
0.59946000 -0.07252000
0.64925000 -0.06550000
0.69911000 -0.05624000
0.74905000 -0.04555000
0.79907000 -0.03409000
0.84919000 -0.02260000
0.89940000 -0.01196000
0.94970000 -0.00329000
1.00000000 0.00000000
