EH 1.0/7.0
1.00000000 0.00000000
0.99901000 0.00003000
0.99606000 0.00014000
0.99114000 0.00036000
0.98429000 0.00071000
0.97553000 0.00121000
0.96489000 0.00186000
0.95241000 0.00266000
0.93815000 0.00360000
0.92216000 0.00467000
0.90451000 0.00588000
0.88526000 0.00724000
0.86448000 0.00874000
0.84227000 0.01037000
0.81871000 0.01216000
0.79389000 0.01406000
0.76791000 0.01608000
0.74088000 0.01819000
0.71289000 0.02039000
0.68406000 0.02265000
0.65451000 0.02495000
0.62435000 0.02729000
0.59369000 0.02961000
0.56267000 0.03190000
0.53140000 0.03412000
0.50000000 0.03624000
0.46861000 0.03821000
0.43733000 0.03999000
0.40631000 0.04157000
0.37566000 0.04288000
0.34549000 0.04389000
0.31549000 0.04456000
0.28711000 0.04487000
0.25912000 0.04479000
0.23209000 0.04431000
0.20611000 0.04341000
0.18129000 0.04209000
0.15773000 0.04035000
0.13522000 0.03822000
0.11474000 0.03574000
0.09549000 0.03291000
0.07784000 0.02980000
0.06185000 0.02645000
0.04759000 0.02292000
0.03511000 0.01927000
0.02447000 0.01558000
0.01571000 0.01192000
0.00886000 0.00845000
0.00394000 0.00528000
0.00099000 0.00248000
0.00000000 0.00000000
0.00000000 0.00000000
0.00099000 -0.00229000
0.00394000 -0.00454000
0.00886000 -0.00681000
0.01571000 -0.00909000
0.02447000 -0.01127000
0.03511000 -0.01328000
0.04759000 -0.01512000
0.06185000 -0.01677000
0.07784000 -0.01822000
0.09549000 -0.01950000
0.11474000 -0.02063000
0.13522000 -0.02160000
0.15773000 -0.02247000
0.18129000 -0.02321000
0.20611000 -0.02383000
0.23209000 -0.02436000
0.25912000 -0.02479000
0.28711000 -0.02513000
0.31549000 -0.02535000
0.34549000 -0.02549000
0.37566000 -0.02551000
0.40631000 -0.02542000
0.43733000 -0.02520000
0.46861000 -0.02485000
0.50000000 -0.02436000
0.53140000 -0.02373000
0.56267000 -0.02295000
0.59369000 -0.02204000
0.62435000 -0.02100000
0.65451000 -0.01983000
0.68406000 -0.01855000
0.71289000 -0.01718000
0.74088000 -0.01574000
0.76791000 -0.01426000
0.79389000 -0.01274000
0.81871000 -0.01124000
0.84227000 -0.00960000
0.86448000 -0.00834000
0.88526000 -0.00699000
0.90451000 -0.00573000
0.92216000 -0.00459000
0.93815000 -0.00356000
0.95241000 -0.00265000
0.96489000 -0.00186000
0.97553000 -0.00120000
0.98429000 -0.00071000
0.99114000 -0.00036000
0.99606000 -0.00014000
0.99901000 -0.00004000
1.00000000 0.00000000
