NACA 65(2)-215
1.00000000 0.00000000
0.95020000 0.00744000
0.90040000 0.01660000
0.85055000 0.02649000
0.80063000 0.03653000
0.75065000 0.04638000
0.70062000 0.05572000
0.65053000 0.06433000
0.60069000 0.07189000
0.55021000 0.07815000
0.50000000 0.08271000
0.44976000 0.08522000
0.39952000 0.08569000
0.34927000 0.08426000
0.29904000 0.08123000
0.24882000 0.07658000
0.19863000 0.07018000
0.14848000 0.06175000
0.09841000 0.05069000
0.07342000 0.04380000
0.04848000 0.03557000
0.02365000 0.02506000
0.01132000 0.01805000
0.00645000 0.01422000
0.00406000 0.01170000
0.00000000 0.00000000
0.00000000 0.00000000
0.00594000 -0.01070000
0.00855000 -0.01282000
0.01368000 -0.01591000
0.02635000 -0.02134000
0.05152000 -0.02925000
0.07658000 -0.03532000
0.10159000 -0.04035000
0.15152000 -0.04829000
0.20137000 -0.05426000
0.25118000 -0.05868000
0.30096000 -0.06179000
0.35073000 -0.06366000
0.40048000 -0.06427000
0.45024000 -0.06332000
0.50000000 -0.06065000
0.54979000 -0.05625000
0.59961000 -0.05047000
0.64947000 -0.04373000
0.69938000 -0.03628000
0.74935000 -0.02848000
0.79937000 -0.02061000
0.84945000 -0.01303000
0.89960000 -0.00626000
0.94980000 -0.00112000
1.00000000 0.00000000
