NACA 66(4)-221
1.00000000 0.00000000
0.95034000 0.01032000
0.90067000 0.02440000
0.85092000 0.03996000
0.80106000 0.05591000
0.75109000 0.07145000
0.70103000 0.08581000
0.65087000 0.09823000
0.60063000 0.10763000
0.55032000 0.11281000
0.50000000 0.11537000
0.44967000 0.11595000
0.39933000 0.11478000
0.34900000 0.11183000
0.29869000 0.10709000
0.24840000 0.10047000
0.19815000 0.09170000
0.14797000 0.08039000
0.09788000 0.06565000
0.07291000 0.05653000
0.04800000 0.04580000
0.02323000 0.03226000
0.01095000 0.02342000
0.00610000 0.01869000
0.00372000 0.01570000
0.00000000 0.00000000
0.00000000 0.00000000
0.00628000 -0.01470000
0.00890000 -0.01729000
0.01405000 -0.02128000
0.02677000 -0.02854000
0.05200000 -0.03948000
0.07709000 -0.04805000
0.10212000 -0.05531000
0.15203000 -0.06693000
0.20185000 -0.07578000
0.25160000 -0.08257000
0.30131000 -0.08765000
0.35100000 -0.09123000
0.40067000 -0.09339000
0.45033000 -0.09405000
0.50000000 -0.09331000
0.54968000 -0.09091000
0.59937000 -0.08621000
0.64913000 -0.07763000
0.69897000 -0.06637000
0.74891000 -0.05355000
0.79894000 -0.03999000
0.84908000 -0.02650000
0.89933000 -0.01406000
0.94966000 -0.00400000
1.00000000 0.00000000
