NACA 65(4)-421
1.00000000 0.00000000
0.95051000 0.01176000
0.90104000 0.02514000
0.85143000 0.03940000
0.80167000 0.05388000
0.75176000 0.06811000
0.70168000 0.08166000
0.65145000 0.09419000
0.60108000 0.10531000
0.55059000 0.11467000
0.50000000 0.12158000
0.44934000 0.12556000
0.39865000 0.12640000
0.34796000 0.12433000
0.29729000 0.11976000
0.24668000 0.11271000
0.19616000 0.10304000
0.14575000 0.09034000
0.09557000 0.07371000
0.07062000 0.06329000
0.04582000 0.05085000
0.02135000 0.03505000
0.00933000 0.02493000
0.00468000 0.01956000
0.00247000 0.01601000
0.00000000 0.00000000
0.00000000 0.00000000
0.00753000 -0.01401000
0.01032000 -0.01676000
0.01567000 -0.02065000
0.02865000 -0.02761000
0.05417000 -0.03821000
0.07938000 -0.04633000
0.10443000 -0.05303000
0.15425000 -0.06342000
0.20384000 -0.07120000
0.25332000 -0.07691000
0.30271000 -0.08088000
0.35204000 -0.08313000
0.40135000 -0.08356000
0.45066000 -0.08176000
0.50000000 -0.07746000
0.54941000 -0.07087000
0.59892000 -0.06247000
0.64855000 -0.05299000
0.69832000 -0.04278000
0.74824000 -0.03231000
0.79833000 -0.02204000
0.84857000 -0.01248000
0.89896000 -0.00446000
0.94949000 0.00088000
1.00000000 0.00000000
