EH 2.0/7.0
1.00000000 0.00000000
0.99901000 0.00003000
0.99606000 0.00014000
0.99114000 0.00036000
0.98429000 0.00071000
0.97553000 0.00121000
0.96489000 0.00186000
0.95241000 0.00267000
0.93815000 0.00362000
0.92216000 0.00471000
0.90451000 0.00595000
0.88526000 0.00737000
0.86448000 0.00894000
0.84227000 0.01076000
0.81871000 0.01262000
0.79389000 0.01472000
0.76791000 0.01698000
0.74088000 0.01941000
0.71289000 0.02198000
0.68406000 0.02468000
0.65451000 0.02749000
0.62435000 0.03041000
0.59369000 0.03337000
0.56267000 0.03634000
0.53140000 0.03928000
0.50000000 0.04213000
0.46861000 0.04484000
0.43733000 0.04734000
0.40631000 0.04958000
0.37566000 0.05150000
0.34549000 0.05301000
0.31549000 0.05409000
0.28711000 0.05467000
0.25912000 0.05472000
0.23209000 0.05421000
0.20611000 0.05312000
0.18129000 0.05146000
0.15773000 0.04923000
0.13522000 0.04647000
0.11474000 0.04323000
0.09549000 0.03956000
0.07784000 0.03554000
0.06185000 0.03126000
0.04759000 0.02679000
0.03511000 0.02224000
0.02447000 0.01772000
0.01571000 0.01333000
0.00886000 0.00926000
0.00394000 0.00564000
0.00099000 0.00257000
0.00000000 0.00000000
0.00000000 0.00000000
0.00099000 -0.00220000
0.00394000 -0.00418000
0.00886000 -0.00600000
0.01571000 -0.00768000
0.02447000 -0.00913000
0.03511000 -0.01031000
0.04759000 -0.01125000
0.06185000 -0.01196000
0.07784000 -0.01247000
0.09549000 -0.01285000
0.11474000 -0.01314000
0.13552000 -0.01336000
0.15773000 -0.01360000
0.18129000 -0.01384000
0.20611000 -0.01412000
0.23209000 -0.01446000
0.25912000 -0.01487000
0.28711000 -0.01533000
0.31594000 -0.01583000
0.34549000 -0.01636000
0.37566000 -0.01689000
0.40631000 -0.01740000
0.43733000 -0.01785000
0.46861000 -0.01822000
0.50000000 -0.01846000
0.53140000 -0.01857000
0.56267000 -0.01851000
0.59369000 -0.01828000
0.62435000 -0.01787000
0.65451000 -0.01729000
0.68406000 -0.01651000
0.71289000 -0.01558000
0.74088000 -0.01452000
0.76791000 -0.01335000
0.79389000 -0.01209000
0.81871000 -0.01078000
0.84227000 -0.00921000
0.86448000 -0.00814000
0.88526000 -0.00687000
0.90451000 -0.00566000
0.92216000 -0.00455000
0.93815000 -0.00354000
0.95241000 -0.00264000
0.96489000 -0.00185000
0.97553000 -0.00120000
0.98429000 -0.00071000
0.99114000 -0.00036000
0.99606000 -0.00014000
0.99901000 -0.00004000
1.00000000 0.00000000
