NACA 64(2)-415
1.00000000 0.00000000
0.95032000 0.00976000
0.90066000 0.01982000
0.85092000 0.03020000
0.80109000 0.04062000
0.75115000 0.05084000
0.70111000 0.06055000
0.65096000 0.06954000
0.60087000 0.07762000
0.55040000 0.08456000
0.50000000 0.09016000
0.44954000 0.09414000
0.39904000 0.09614000
0.34853000 0.09541000
0.29803000 0.09260000
0.24756000 0.08771000
0.19714000 0.08066000
0.14681000 0.07122000
0.09662000 0.05864000
0.07162000 0.05075000
0.04673000 0.04121000
0.02207000 0.02883000
0.00996000 0.02038000
0.00526000 0.01579000
0.00299000 0.01291000
0.00000000 0.00000000
0.00000000 0.00000000
0.00701000 -0.01091000
0.00974000 -0.01299000
0.01504000 -0.01610000
0.02793000 -0.02139000
0.05327000 -0.02857000
0.07838000 -0.03379000
0.10338000 -0.03796000
0.15319000 -0.04430000
0.20286000 -0.04882000
0.25244000 -0.05191000
0.30197000 -0.05372000
0.35147000 -0.05421000
0.40096000 -0.05330000
0.45046000 -0.05034000
0.50000000 -0.04604000
0.54960000 -0.04076000
0.59928000 -0.03478000
0.64904000 -0.02834000
0.69889000 -0.02167000
0.74885000 -0.01504000
0.79897000 -0.00878000
0.84908000 -0.00328000
0.89934000 0.00086000
0.94968000 0.00288000
1.00000000 0.00000000
