NACA 64(1)-112
1.00000000 0.00000000
0.95007000 0.00446000
0.90014000 0.01044000
0.85019000 0.01718000
0.80022000 0.02427000
0.75024000 0.03143000
0.70023000 0.03836000
0.65020000 0.04489000
0.60015000 0.05084000
0.55008000 0.05604000
0.50000000 0.06032000
0.44991000 0.06346000
0.39981000 0.06517000
0.34971000 0.06493000
0.29961000 0.06330000
0.24951000 0.06024000
0.19943000 0.05571000
0.14936000 0.04956000
0.09932000 0.04128000
0.07432000 0.03605000
0.04934000 0.02967000
0.02441000 0.02127000
0.01198000 0.01543000
0.00704000 0.01213000
0.00459000 0.01002000
0.00000000 0.00000000
0.00000000 0.00000000
0.00541000 -0.00952000
0.00796000 -0.01143000
0.01302000 -0.01435000
0.02559000 -0.01941000
0.05066000 -0.02651000
0.07568000 -0.03181000
0.10068000 -0.03612000
0.15064000 -0.04284000
0.20057000 -0.04775000
0.25049000 -0.05128000
0.30039000 -0.05358000
0.35029000 -0.05463000
0.40019000 -0.05445000
0.45009000 -0.05250000
0.50000000 -0.04928000
0.54992000 -0.04508000
0.59985000 -0.04012000
0.64980000 -0.03459000
0.69977000 -0.02864000
0.74976000 -0.02247000
0.79978000 -0.01631000
0.84981000 -0.01046000
0.89986000 -0.00528000
0.94993000 -0.00130000
1.00000000 0.00000000
