AH 80-136
1.00000000 0.00146000
0.99893000 0.00146000
0.99572000 0.00144000
0.99039000 0.00123000
0.98296000 0.00098000
0.97347000 0.00083000
0.96194000 0.00096000
0.94844000 0.00146000
0.93301000 0.00232000
0.91573000 0.00355000
0.89668000 0.00525000
0.87592000 0.00757000
0.85355000 0.01058000
0.82967000 0.01429000
0.80438000 0.01868000
0.77779000 0.02374000
0.75000000 0.02948000
0.72114000 0.03588000
0.69134000 0.04290000
0.66072000 0.05042000
0.62941000 0.05823000
0.59755000 0.06616000
0.56526000 0.07398000
0.53270000 0.08141000
0.50000000 0.08802000
0.46730000 0.09344000
0.43474000 0.09749000
0.40245000 0.10017000
0.37059000 0.10156000
0.33928000 0.10177000
0.30866000 0.10093000
0.27886000 0.09918000
0.25000000 0.09659000
0.22221000 0.09316000
0.19562000 0.08890000
0.17033000 0.08388000
0.14645000 0.07824000
0.12408000 0.07204000
0.10332000 0.06536000
0.08427000 0.05829000
0.06699000 0.05097000
0.05156000 0.04361000
0.03806000 0.03635000
0.02653000 0.02929000
0.01704000 0.02243000
0.00961000 0.01583000
0.00428000 0.00972000
0.00107000 0.00441000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00373000
0.00428000 -0.00707000
0.00961000 -0.01008000
0.01704000 -0.01270000
0.02653000 -0.01495000
0.03806000 -0.01703000
0.05156000 -0.01913000
0.06699000 -0.02124000
0.08427000 -0.02326000
0.10332000 -0.02510000
0.12408000 -0.02673000
0.14645000 -0.02817000
0.17033000 -0.02945000
0.19562000 -0.03058000
0.22221000 -0.03155000
0.25000000 -0.03233000
0.27886000 -0.03295000
0.30866000 -0.03342000
0.33928000 -0.03372000
0.37059000 -0.03382000
0.40245000 -0.03365000
0.43474000 -0.03318000
0.46730000 -0.03241000
0.50000000 -0.03136000
0.53270000 -0.03013000
0.56526000 -0.02885000
0.59755000 -0.02756000
0.62941000 -0.02625000
0.66072000 -0.02491000
0.69134000 -0.02353000
0.72114000 -0.02205000
0.75000000 -0.02043000
0.77779000 -0.01865000
0.80438000 -0.01682000
0.82967000 -0.01504000
0.85355000 -0.01334000
0.87592000 -0.01168000
0.89668000 -0.00999000
0.91573000 -0.00828000
0.93301000 -0.00666000
0.94844000 -0.00524000
0.96194000 -0.00402000
0.97347000 -0.00296000
0.98296000 -0.00201000
0.99039000 -0.00123000
0.99572000 -0.00061000
0.99893000 -0.00049000
1.00000000 -0.00029000
