NACA 64(3)-618
1.00000000 0.00000000
0.95056000 0.01344000
0.90115000 0.02646000
0.85161000 0.03963000
0.80191000 0.05270000
0.75203000 0.06544000
0.70196000 0.07754000
0.65171000 0.08870000
0.60129000 0.09870000
0.55071000 0.10730000
0.50000000 0.11423000
0.44917000 0.11915000
0.39827000 0.12163000
0.34735000 0.12065000
0.29645000 0.11698000
0.24560000 0.11065000
0.19486000 0.10153000
0.14427000 0.08937000
0.09395000 0.07322000
0.06895000 0.06312000
0.04417000 0.05093000
0.01982000 0.03518000
0.00805000 0.02452000
0.00359000 0.01885000
0.00150000 0.01534000
0.00000000 0.00000000
0.00000000 0.00000000
0.00850000 -0.01234000
0.01141000 -0.01465000
0.01695000 -0.01810000
0.03018000 -0.02402000
0.05583000 -0.03197000
0.08105000 -0.03769000
0.10605000 -0.04220000
0.15573000 -0.04899000
0.20514000 -0.05377000
0.25440000 -0.05695000
0.30355000 -0.05866000
0.35265000 -0.05885000
0.40173000 -0.05737000
0.45083000 -0.05345000
0.50000000 -0.04805000
0.54929000 -0.04160000
0.59871000 -0.03444000
0.64829000 -0.02690000
0.69804000 -0.01922000
0.74797000 -0.01174000
0.79809000 -0.00494000
0.84839000 0.00075000
0.89885000 0.00456000
0.94944000 0.00552000
1.00000000 0.00000000
