AH 79-K-132/20
1.00000000 0.00000000
0.99893000 0.00041000
0.99572000 0.00152000
0.99039000 0.00300000
0.98296000 0.00475000
0.97347000 0.00679000
0.96194000 0.00906000
0.94844000 0.01156000
0.93301000 0.01434000
0.91573000 0.01732000
0.89668000 0.02057000
0.87592000 0.02389000
0.85355000 0.02764000
0.82967000 0.03187000
0.80438000 0.03709000
0.77779000 0.04463000
0.75000000 0.05320000
0.72114000 0.06175000
0.69134000 0.07007000
0.66072000 0.07741000
0.62941000 0.08370000
0.59755000 0.08887000
0.56526000 0.09316000
0.53270000 0.09663000
0.50000000 0.09931000
0.46730000 0.10124000
0.43474000 0.10240000
0.40245000 0.10280000
0.37059000 0.10245000
0.33928000 0.10136000
0.30866000 0.09953000
0.27886000 0.09698000
0.25000000 0.09372000
0.22221000 0.08982000
0.19562000 0.08533000
0.17033000 0.08029000
0.14645000 0.07472000
0.12408000 0.06871000
0.10332000 0.06231000
0.08427000 0.05560000
0.06699000 0.04868000
0.05156000 0.04132000
0.03806000 0.03424000
0.02653000 0.02755000
0.01704000 0.02085000
0.00961000 0.01435000
0.00428000 0.00851000
0.00107000 0.00363000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00344000
0.00428000 -0.00698000
0.00961000 -0.01023000
0.01704000 -0.01339000
0.02653000 -0.01607000
0.03806000 -0.01827000
0.05156000 -0.02009000
0.06699000 -0.02139000
0.08427000 -0.02269000
0.10332000 -0.02384000
0.12408000 -0.02478000
0.14645000 -0.02561000
0.17033000 -0.02632000
0.19562000 -0.02695000
0.22221000 -0.02748000
0.25000000 -0.02795000
0.27886000 -0.02832000
0.30866000 -0.02864000
0.33928000 -0.02889000
0.37059000 -0.02908000
0.40245000 -0.02920000
0.43474000 -0.02924000
0.46730000 -0.02915000
0.50000000 -0.02889000
0.53270000 -0.02843000
0.56526000 -0.02778000
0.59755000 -0.02692000
0.62941000 -0.02583000
0.66072000 -0.02456000
0.69134000 -0.02302000
0.72114000 -0.02134000
0.75000000 -0.01933000
0.77779000 -0.01704000
0.80438000 -0.01467000
0.82967000 -0.01177000
0.85355000 -0.00886000
0.87592000 -0.00602000
0.89668000 -0.00347000
0.91573000 -0.00159000
0.93301000 -0.00026000
0.94844000 0.00055000
0.96194000 0.00090000
0.97347000 0.00083000
0.98296000 0.00063000
0.99039000 0.00023000
0.99572000 -0.00015000
0.99893000 -0.00010000
1.00000000 0.00000000
