AH 63-K-127/24
1.00000000 0.00000000
0.99893000 0.00080000
0.99572000 0.00180000
0.99039000 0.00311000
0.98296000 0.00489000
0.97347000 0.00709000
0.96194000 0.00956000
0.94844000 0.01222000
0.93301000 0.01521000
0.91573000 0.01865000
0.89668000 0.02254000
0.87592000 0.02667000
0.85355000 0.03085000
0.82967000 0.03477000
0.80438000 0.03919000
0.77779000 0.04532000
0.75000000 0.05330000
0.72114000 0.06237000
0.69134000 0.07088000
0.66072000 0.07810000
0.62941000 0.08418000
0.59755000 0.08913000
0.56526000 0.09314000
0.53270000 0.09631000
0.50000000 0.09866000
0.46730000 0.10021000
0.43474000 0.10098000
0.40245000 0.10096000
0.37059000 0.10010000
0.33928000 0.09839000
0.30866000 0.09587000
0.27886000 0.09262000
0.25000000 0.08874000
0.22221000 0.08428000
0.19562000 0.07934000
0.17033000 0.07405000
0.14645000 0.06848000
0.12408000 0.06273000
0.10332000 0.05685000
0.08427000 0.05091000
0.06699000 0.04490000
0.05156000 0.03876000
0.03806000 0.03253000
0.02653000 0.02631000
0.01704000 0.02021000
0.00961000 0.01430000
0.00428000 0.00879000
0.00107000 0.00394000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00310000
0.00428000 -0.00565000
0.00961000 -0.00795000
0.01704000 -0.01021000
0.02653000 -0.01245000
0.03806000 -0.01459000
0.05156000 -0.01655000
0.06699000 -0.01830000
0.08427000 -0.01986000
0.10332000 -0.02125000
0.12408000 -0.02246000
0.14645000 -0.02347000
0.17033000 -0.02426000
0.19562000 -0.02485000
0.22221000 -0.02527000
0.25000000 -0.02559000
0.27886000 -0.02585000
0.30866000 -0.02608000
0.33928000 -0.02626000
0.37059000 -0.02630000
0.40245000 -0.02611000
0.43474000 -0.02568000
0.46730000 -0.02508000
0.50000000 -0.02432000
0.53270000 -0.02335000
0.56526000 -0.02217000
0.59755000 -0.02087000
0.62941000 -0.01936000
0.66072000 -0.01756000
0.69134000 -0.01539000
0.72114000 -0.01298000
0.75000000 -0.01050000
0.77779000 -0.00795000
0.80438000 -0.00540000
0.82967000 -0.00292000
0.85355000 -0.00071000
0.87592000 0.00098000
0.89668000 0.00208000
0.91573000 0.00266000
0.93301000 0.00285000
0.94844000 0.00272000
0.96194000 0.00228000
0.97347000 0.00174000
0.98296000 0.00122000
0.99039000 0.00077000
0.99572000 0.00030000
0.99893000 0.00010000
1.00000000 0.00000000
