FX 76-MP-140
1.00000000 0.00000000
0.99893000 0.00145000
0.99572000 0.00293000
0.99039000 0.00509000
0.98296000 0.00787000
0.97347000 0.01118000
0.96194000 0.01496000
0.94844000 0.01936000
0.93301000 0.02433000
0.91573000 0.02995000
0.89668000 0.03617000
0.87592000 0.04303000
0.85355000 0.05048000
0.82967000 0.05851000
0.80438000 0.06708000
0.77779000 0.07613000
0.75000000 0.08541000
0.72114000 0.09466000
0.69134000 0.10341000
0.66072000 0.11139000
0.62941000 0.11842000
0.59755000 0.12451000
0.56526000 0.12952000
0.53270000 0.13352000
0.50000000 0.13652000
0.46730000 0.13862000
0.43474000 0.13977000
0.40245000 0.14003000
0.37059000 0.13935000
0.33928000 0.13779000
0.30866000 0.13531000
0.27886000 0.13200000
0.25000000 0.12779000
0.22221000 0.12277000
0.19562000 0.11695000
0.17033000 0.11043000
0.14645000 0.10324000
0.12408000 0.09557000
0.10332000 0.08734000
0.08427000 0.07869000
0.06699000 0.06946000
0.05156000 0.05986000
0.03806000 0.04998000
0.02653000 0.04044000
0.01704000 0.03121000
0.00961000 0.02273000
0.00428000 0.01459000
0.00107000 0.00750000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00489000
0.00428000 -0.00938000
0.00961000 -0.01359000
0.01704000 -0.01688000
0.02653000 -0.01936000
0.03806000 -0.02085000
0.05156000 -0.02163000
0.06699000 -0.02171000
0.08427000 -0.02131000
0.10332000 -0.02043000
0.12408000 -0.01916000
0.14645000 -0.01755000
0.17033000 -0.01573000
0.19562000 -0.01376000
0.22221000 -0.01169000
0.25000000 -0.00958000
0.27886000 -0.00743000
0.30866000 -0.00534000
0.33928000 -0.00329000
0.37059000 -0.00136000
0.40245000 0.00048000
0.43474000 0.00218000
0.46730000 0.00381000
0.50000000 0.00532000
0.53270000 0.00675000
0.56526000 0.00806000
0.59755000 0.00933000
0.62941000 0.01051000
0.66072000 0.01171000
0.69134000 0.01287000
0.72114000 0.01404000
0.75000000 0.01510000
0.77779000 0.01599000
0.80438000 0.01651000
0.82967000 0.01668000
0.85355000 0.01639000
0.87592000 0.01572000
0.89668000 0.01461000
0.91573000 0.01319000
0.93301000 0.01147000
0.94844000 0.00959000
0.96194000 0.00755000
0.97347000 0.00549000
0.98296000 0.00349000
0.99039000 0.00171000
0.99572000 0.00032000
0.99893000 0.00016000
1.00000000 0.00000000
