AH 88-K-130/20
1.00000000 0.00000000
0.99893000 0.00050000
0.99572000 0.00166000
0.99039000 0.00324000
0.98296000 0.00523000
0.97347000 0.00766000
0.96194000 0.01054000
0.94844000 0.01390000
0.93301000 0.01777000
0.91573000 0.02216000
0.89668000 0.02720000
0.87592000 0.03263000
0.85355000 0.03865000
0.82967000 0.04524000
0.80438000 0.05229000
0.77779000 0.05983000
0.75000000 0.06761000
0.72114000 0.07531000
0.69134000 0.08191000
0.66072000 0.08742000
0.62941000 0.09204000
0.59755000 0.09600000
0.56526000 0.09921000
0.53270000 0.10171000
0.50000000 0.10345000
0.46730000 0.10429000
0.43474000 0.10410000
0.40245000 0.10321000
0.37059000 0.10160000
0.33928000 0.09935000
0.30866000 0.09648000
0.27886000 0.09304000
0.25000000 0.08911000
0.22221000 0.08467000
0.19562000 0.07982000
0.17033000 0.07458000
0.14645000 0.06905000
0.12408000 0.06315000
0.10332000 0.05712000
0.08427000 0.05086000
0.06699000 0.04458000
0.05156000 0.03815000
0.03806000 0.03190000
0.02653000 0.02555000
0.01704000 0.01986000
0.00961000 0.01400000
0.00428000 0.00889000
0.00107000 0.00445000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00252000
0.00428000 -0.00503000
0.00961000 -0.00747000
0.01704000 -0.00951000
0.02653000 -0.01138000
0.03806000 -0.01339000
0.05156000 -0.01494000
0.06699000 -0.01661000
0.08427000 -0.01803000
0.10332000 -0.01939000
0.12408000 -0.02058000
0.14645000 -0.02174000
0.17033000 -0.02271000
0.19562000 -0.02359000
0.22221000 -0.02436000
0.25000000 -0.02500000
0.27886000 -0.02548000
0.30866000 -0.02588000
0.33928000 -0.02612000
0.37059000 -0.02619000
0.40245000 -0.02614000
0.43474000 -0.02590000
0.46730000 -0.02549000
0.50000000 -0.02484000
0.53270000 -0.02393000
0.56526000 -0.02264000
0.59755000 -0.02120000
0.62941000 -0.01956000
0.66072000 -0.01782000
0.69134000 -0.01584000
0.72114000 -0.01374000
0.75000000 -0.01118000
0.77779000 -0.00793000
0.80438000 -0.00452000
0.82967000 -0.00162000
0.85355000 0.00073000
0.87592000 0.00246000
0.89668000 0.00390000
0.91573000 0.00429000
0.93301000 0.00450000
0.94844000 0.00435000
0.96194000 0.00389000
0.97347000 0.00323000
0.98296000 0.00245000
0.99039000 0.00165000
0.99572000 0.00095000
0.99893000 0.00032000
1.00000000 0.00000000
