FX 66-H-60
1.00000000 0.00000000
0.99893000 0.00012000
0.99572000 0.00037000
0.99039000 0.00071000
0.98296000 0.00112000
0.97347000 0.00155000
0.96194000 0.00200000
0.94844000 0.00241000
0.93301000 0.00273000
0.91573000 0.00296000
0.89668000 0.00319000
0.87592000 0.00354000
0.85355000 0.00410000
0.82967000 0.00489000
0.80438000 0.00592000
0.77779000 0.00717000
0.75000000 0.00862000
0.72114000 0.01028000
0.69134000 0.01215000
0.66072000 0.01421000
0.62941000 0.01644000
0.59755000 0.01882000
0.56526000 0.02132000
0.53270000 0.02393000
0.50000000 0.02662000
0.46730000 0.02934000
0.43474000 0.03207000
0.40245000 0.03476000
0.37059000 0.03733000
0.33928000 0.03973000
0.30866000 0.04191000
0.27886000 0.04377000
0.25000000 0.04522000
0.22221000 0.04615000
0.19562000 0.04647000
0.17033000 0.04608000
0.14645000 0.04487000
0.12408000 0.04278000
0.10332000 0.03982000
0.08427000 0.03615000
0.06699000 0.03198000
0.05156000 0.02751000
0.03806000 0.02290000
0.02653000 0.01829000
0.01704000 0.01384000
0.00961000 0.00970000
0.00428000 0.00597000
0.00107000 0.00272000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00219000
0.00428000 -0.00393000
0.00961000 -0.00532000
0.01704000 -0.00646000
0.02653000 -0.00740000
0.03806000 -0.00820000
0.05156000 -0.00886000
0.06699000 -0.00945000
0.08427000 -0.00997000
0.10332000 -0.01049000
0.12408000 -0.01105000
0.14645000 -0.01168000
0.17033000 -0.01240000
0.19562000 -0.01319000
0.22221000 -0.01402000
0.25000000 -0.01488000
0.27886000 -0.01576000
0.30866000 -0.01662000
0.33928000 -0.01744000
0.37059000 -0.01821000
0.40245000 -0.01889000
0.43474000 -0.01947000
0.46730000 -0.01994000
0.50000000 -0.02029000
0.53270000 -0.02050000
0.56526000 -0.02056000
0.59755000 -0.02048000
0.62941000 -0.02024000
0.66072000 -0.01984000
0.69134000 -0.01929000
0.72114000 -0.01857000
0.75000000 -0.01768000
0.77779000 -0.01657000
0.80438000 -0.01518000
0.82967000 -0.01350000
0.85355000 -0.01161000
0.87592000 -0.00968000
0.89668000 -0.00785000
0.91573000 -0.00620000
0.93301000 -0.00477000
0.94844000 -0.00357000
0.96194000 -0.00258000
0.97347000 -0.00178000
0.98296000 -0.00115000
0.99039000 -0.00066000
0.99572000 -0.00032000
0.99893000 -0.00011000
1.00000000 0.00000000
