NACA 747A415
1.00000000 0.00000000
0.95015000 0.00639000
0.90037000 0.01546000
0.85066000 0.02592000
0.80107000 0.03692000
0.75164000 0.04783000
0.70273000 0.05838000
0.65393000 0.06878000
0.60454000 0.07859000
0.55474000 0.08753000
0.50447000 0.09516000
0.45364000 0.10121000
0.40176000 0.10499000
0.34964000 0.10497000
0.29818000 0.10216000
0.24698000 0.09687000
0.19598000 0.08897000
0.14521000 0.07827000
0.09476000 0.06390000
0.06972000 0.05488000
0.04487000 0.04411000
0.02041000 0.03016000
0.00852000 0.02106000
0.00398000 0.01622000
0.00183000 0.01318000
0.00000000 0.00000000
0.00000000 0.00000000
0.00817000 -0.00994000
0.01102000 -0.01160000
0.01648000 -0.01406000
0.02959000 -0.01822000
0.05513000 -0.02349000
0.08028000 -0.02730000
0.10524000 -0.03038000
0.15479000 -0.03501000
0.20402000 -0.03845000
0.25302000 -0.04095000
0.30182000 -0.04286000
0.35036000 -0.04411000
0.39824000 -0.04485000
0.44636000 -0.04493000
0.49553000 -0.04462000
0.54526000 -0.04381000
0.59546000 -0.04235000
0.64607000 -0.03992000
0.69727000 -0.03622000
0.74836000 -0.03053000
0.79893000 -0.02344000
0.84934000 -0.01578000
0.89963000 -0.00838000
0.94985000 -0.00247000
1.00000000 0.00000000
