E169  (14.4%)
1.00000000 0.00000000
0.99640000 0.00022000
0.98598000 0.00115000
0.96948000 0.00290000
0.94737000 0.00514000
0.91970000 0.00771000
0.88673000 0.01081000
0.84899000 0.01458000
0.80708000 0.01904000
0.76168000 0.02416000
0.71346000 0.02985000
0.66316000 0.03596000
0.61148000 0.04231000
0.55912000 0.04866000
0.50675000 0.05477000
0.45499000 0.06036000
0.40442000 0.06516000
0.35555000 0.06889000
0.30884000 0.07127000
0.26456000 0.07202000
0.22289000 0.07110000
0.18408000 0.06858000
0.14839000 0.06450000
0.11605000 0.05896000
0.08721000 0.05212000
0.06206000 0.04427000
0.04085000 0.03567000
0.02379000 0.02657000
0.01106000 0.01729000
0.00290000 0.00819000
0.00000000 0.00000000
0.00000000 0.00000000
0.00290000 -0.00819000
0.01106000 -0.01729000
0.02379000 -0.02657000
0.04085000 -0.03567000
0.06206000 -0.04427000
0.08721000 -0.05212000
0.11605000 -0.05896000
0.14839000 -0.06450000
0.18408000 -0.06858000
0.22289000 -0.07110000
0.26456000 -0.07202000
0.30884000 -0.07127000
0.35555000 -0.06889000
0.40442000 -0.06516000
0.45499000 -0.06036000
0.50675000 -0.05477000
0.55912000 -0.04866000
0.61148000 -0.04231000
0.66316000 -0.03596000
0.71346000 -0.02985000
0.76168000 -0.02416000
0.80708000 -0.01904000
0.84899000 -0.01458000
0.88673000 -0.01081000
0.91970000 -0.00771000
0.94737000 -0.00514000
0.96948000 -0.00290000
0.98598000 -0.00115000
0.99640000 -0.00022000
1.00000000 0.00000000
