NACA 64(2)-215
1.00000000 0.00000000
0.95016000 0.00662000
0.90033000 0.01466000
0.85046000 0.02349000
0.80055000 0.03267000
0.75058000 0.04191000
0.70055000 0.05085000
0.65048000 0.05925000
0.60036000 0.06691000
0.55020000 0.07361000
0.50000000 0.07913000
0.44977000 0.08319000
0.39952000 0.08544000
0.34926000 0.08512000
0.29901000 0.08290000
0.24878000 0.07879000
0.19857000 0.07274000
0.14840000 0.06456000
0.09831000 0.05356000
0.07331000 0.04661000
0.04836000 0.03816000
0.02353000 0.02710000
0.01122000 0.01945000
0.00637000 0.01522000
0.00399000 0.01254000
0.00000000 0.00000000
0.00000000 0.00000000
0.00601000 -0.01154000
0.00863000 -0.01382000
0.01378000 -0.01731000
0.02647000 -0.02338000
0.05164000 -0.03184000
0.07669000 -0.03813000
0.10169000 -0.04322000
0.15160000 -0.05110000
0.20143000 -0.05682000
0.25122000 -0.06089000
0.30099000 -0.06346000
0.35074000 -0.06452000
0.40048000 -0.06402000
0.45023000 -0.06129000
0.50000000 -0.05707000
0.54980000 -0.05171000
0.59964000 -0.04549000
0.64952000 -0.03865000
0.69945000 -0.03141000
0.74942000 -0.02401000
0.79945000 -0.01675000
0.84954000 -0.01003000
0.89967000 -0.00432000
0.94984000 -0.00030000
1.00000000 0.00000000
