NACA 65(4)-221
1.00000000 0.00000000
0.95026000 0.00861000
0.90052000 0.02000000
0.85072000 0.03270000
0.80084000 0.04595000
0.75088000 0.05918000
0.70084000 0.07195000
0.65072000 0.08390000
0.60054000 0.09461000
0.55030000 0.10372000
0.50000000 0.11055000
0.44967000 0.11461000
0.39932000 0.11570000
0.34898000 0.11404000
0.29865000 0.11007000
0.24834000 0.10381000
0.19808000 0.09514000
0.14787000 0.08370000
0.09778000 0.06865000
0.07280000 0.05918000
0.04791000 0.04783000
0.02314000 0.03335000
0.01090000 0.02402000
0.00608000 0.01902000
0.00372000 0.01567000
0.00000000 0.00000000
0.00000000 0.00000000
0.00628000 -0.01467000
0.00892000 -0.01762000
0.01410000 -0.02188000
0.02684000 -0.02963000
0.05209000 -0.04151000
0.07720000 -0.05070000
0.10222000 -0.05831000
0.15213000 -0.07024000
0.20192000 -0.07922000
0.25166000 -0.08591000
0.30135000 -0.09063000
0.35102000 -0.09344000
0.40068000 -0.09428000
0.45033000 -0.09271000
0.50000000 -0.08849000
0.54970000 -0.08182000
0.59946000 -0.07319000
0.64928000 -0.06330000
0.69916000 -0.05251000
0.74912000 -0.04128000
0.79916000 -0.03003000
0.84928000 -0.01924000
0.89948000 -0.00966000
0.94974000 -0.00229000
1.00000000 0.00000000
