FX 83-W-227
1.00000000 0.00000000
0.99893000 0.00058000
0.99572000 0.00142000
0.99039000 0.00324000
0.98296000 0.00590000
0.97347000 0.00950000
0.96194000 0.01391000
0.94844000 0.01901000
0.93301000 0.02471000
0.91573000 0.03090000
0.89668000 0.03753000
0.87592000 0.04450000
0.85355000 0.05176000
0.82967000 0.05928000
0.80438000 0.06704000
0.77779000 0.07501000
0.75000000 0.08310000
0.72114000 0.09119000
0.69134000 0.09916000
0.66072000 0.10689000
0.62941000 0.11425000
0.59755000 0.12114000
0.56526000 0.12744000
0.53270000 0.13306000
0.50000000 0.13784000
0.46730000 0.14169000
0.43474000 0.14455000
0.40245000 0.14640000
0.37059000 0.14720000
0.33928000 0.14690000
0.30866000 0.14546000
0.27886000 0.14286000
0.25000000 0.13911000
0.22221000 0.13422000
0.19562000 0.12824000
0.17033000 0.12127000
0.14645000 0.11341000
0.12408000 0.10483000
0.10332000 0.09565000
0.08427000 0.08600000
0.06699000 0.07603000
0.05156000 0.06588000
0.03806000 0.05569000
0.02653000 0.04553000
0.01704000 0.03542000
0.00961000 0.02557000
0.00428000 0.01626000
0.00107000 0.00771000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00729000
0.00428000 -0.01462000
0.00961000 -0.02219000
0.01704000 -0.02985000
0.02653000 -0.03711000
0.03806000 -0.04374000
0.05156000 -0.04971000
0.06699000 -0.05507000
0.08427000 -0.05985000
0.10332000 -0.06405000
0.12408000 -0.06770000
0.14645000 -0.07085000
0.17033000 -0.07354000
0.19562000 -0.07576000
0.22221000 -0.07750000
0.25000000 -0.07876000
0.27886000 -0.07953000
0.30866000 -0.07979000
0.33928000 -0.07955000
0.37059000 -0.07881000
0.40245000 -0.07760000
0.43474000 -0.07590000
0.46730000 -0.07370000
0.50000000 -0.07096000
0.53270000 -0.06771000
0.56526000 -0.06401000
0.59755000 -0.05992000
0.62941000 -0.05553000
0.66072000 -0.05093000
0.69134000 -0.04624000
0.72114000 -0.04156000
0.75000000 -0.03699000
0.77779000 -0.03258000
0.80438000 -0.02841000
0.82967000 -0.02453000
0.85355000 -0.02098000
0.87592000 -0.01777000
0.89668000 -0.01481000
0.91573000 -0.01202000
0.93301000 -0.00939000
0.94844000 -0.00698000
0.96194000 -0.00487000
0.97347000 -0.00311000
0.98296000 -0.00174000
0.99039000 -0.00085000
0.99572000 -0.00032000
0.99893000 -0.00030000
1.00000000 0.00000000
