NACA 66(1)-212
1.00000000 0.00000000
0.95022000 0.00789000
0.90043000 0.01750000
0.85057000 0.02755000
0.80065000 0.03739000
0.75066000 0.04661000
0.70061000 0.05487000
0.65051000 0.06169000
0.60036000 0.06659000
0.55019000 0.06931000
0.50000000 0.07068000
0.44981000 0.07095000
0.39962000 0.07018000
0.34943000 0.06833000
0.29925000 0.06539000
0.24908000 0.06132000
0.19894000 0.05596000
0.14883000 0.04905000
0.09878000 0.04011000
0.07379000 0.03459000
0.04883000 0.02809000
0.02395000 0.01991000
0.01156000 0.01462000
0.00666000 0.01154000
0.00424000 0.00953000
0.00000000 0.00000000
0.00000000 0.00000000
0.00576000 -0.00853000
0.00834000 -0.01014000
0.01344000 -0.01248000
0.02605000 -0.01619000
0.05117000 -0.02177000
0.07621000 -0.02611000
0.10122000 -0.02977000
0.15117000 -0.03559000
0.20106000 -0.04004000
0.25092000 -0.04342000
0.30075000 -0.04595000
0.35057000 -0.04773000
0.40038000 -0.04876000
0.45019000 -0.04905000
0.50000000 -0.04862000
0.54981000 -0.04741000
0.59964000 -0.04517000
0.64949000 -0.04109000
0.69939000 -0.03543000
0.74934000 -0.02871000
0.79935000 -0.02147000
0.84943000 -0.01409000
0.89957000 -0.00716000
0.94978000 -0.00157000
1.00000000 0.00000000
