DAE-11 AIRFOIL
1.00000000 0.00000000
0.98648340 0.00253790
0.97000750 0.00561510
0.94787480 0.01004460
0.91860850 0.01637980
0.88796690 0.02356410
0.85795150 0.03112840
0.82795010 0.03915180
0.79777960 0.04760520
0.76735120 0.05641670
0.73660370 0.06550230
0.70565320 0.07473780
0.67522280 0.08372040
0.64543740 0.09220480
0.61626610 0.09999110
0.58758070 0.10690730
0.55914140 0.11283830
0.53068110 0.11777420
0.50204660 0.12177800
0.47322310 0.12488780
0.44427360 0.12710930
0.41525500 0.12843380
0.38618330 0.12885020
0.35709160 0.12838150
0.32805590 0.12704260
0.29914910 0.12480170
0.27042530 0.12165760
0.24193950 0.11758540
0.21379080 0.11255800
0.18611800 0.10655050
0.15909530 0.09953980
0.13293360 0.09152700
0.10791500 0.08251700
0.08440760 0.07256480
0.06287940 0.06180450
0.04396650 0.05053990
0.02836400 0.03930020
0.01649600 0.02872740
0.00829260 0.01933460
0.00329160 0.01146780
0.00075700 0.00514310
0.00000000 0.00000000
0.00000000 0.00000000
0.00049190 -0.00348600
0.00201160 -0.00642840
0.00441480 -0.00879080
0.00808620 -0.01070020
0.01411490 -0.01237470
0.02457310 -0.01387840
0.04145120 -0.01488930
0.06489510 -0.01506640
0.09260770 -0.01446250
0.12258450 -0.01329280
0.15367850 -0.01174700
0.18538360 -0.00996720
0.21744970 -0.00805240
0.24973890 -0.00606860
0.28217210 -0.00406080
0.31461130 -0.00206810
0.34696450 -0.00011930
0.37923960 0.00175250
0.41143380 0.00353620
0.44355390 0.00520000
0.47560500 0.00673370
0.50757520 0.00811540
0.53946920 0.00930410
0.57131230 0.01028480
0.60311230 0.01104550
0.63488240 0.01157010
0.66663540 0.01186570
0.69837650 0.01193120
0.73010150 0.01177280
0.76178940 0.01139330
0.79342140 0.01077380
0.82499840 0.00990020
0.85656230 0.00875860
0.88832920 0.00733100
0.92001520 0.00561430
0.94799360 0.00386790
0.96965120 0.00234970
0.98628330 0.00107680
1.00000000 0.00000000
