EH 2.0/10
1.00000000 0.00000000
0.99901300 0.00004800
0.99605700 0.00020100
0.99114400 0.00051200
0.98429200 0.00103400
0.97552800 0.00177600
0.96488800 0.00273200
0.95241400 0.00388200
0.93815300 0.00522600
0.92216400 0.00676900
0.90450800 0.00852500
0.88525700 0.01050900
0.86448400 0.01272000
0.84227400 0.01514600
0.81871200 0.01777900
0.79389300 0.02062100
0.76791300 0.02365800
0.74087700 0.02686900
0.71289000 0.03023900
0.68406200 0.03374500
0.65450800 0.03735300
0.62434500 0.04102800
0.59369100 0.04472900
0.56266700 0.04840800
0.53139500 0.05200700
0.50000000 0.05546900
0.46860500 0.05872400
0.43733300 0.06170400
0.40630900 0.06434000
0.37565500 0.06656500
0.34549200 0.06830800
0.31593800 0.06950900
0.28711000 0.07011400
0.25912300 0.07007900
0.23208700 0.06936900
0.20610700 0.06796600
0.18128800 0.06586900
0.15772600 0.06309700
0.13551600 0.05968300
0.11474300 0.05567400
0.09549200 0.05113500
0.07783600 0.04614400
0.06184700 0.04078900
0.04758600 0.03517900
0.03511200 0.02943200
0.02447200 0.02363900
0.01570800 0.01795900
0.00885600 0.01264800
0.00394300 0.00771000
0.00098700 0.00342300
0.00000000 0.00000000
0.00000000 0.00000000
0.00098700 -0.00304900
0.00394300 -0.00623200
0.00885600 -0.00937800
0.01570800 -0.01227900
0.02447200 -0.01502300
0.03511200 -0.01747000
0.04758600 -0.01958700
0.06184700 -0.02142100
0.07783600 -0.02299400
0.09549200 -0.02433500
0.11474300 -0.02548400
0.13551600 -0.02647900
0.15772600 -0.02735300
0.18128800 -0.02813900
0.20610700 -0.02885400
0.23208700 -0.02951100
0.25912300 -0.03011500
0.28711000 -0.03066400
0.31593800 -0.03115500
0.34549200 -0.03157000
0.37565500 -0.03189100
0.40630700 -0.03209400
0.43733300 -0.03215800
0.46860500 -0.03205600
0.50000000 -0.03176500
0.53139500 -0.03126900
0.56266700 -0.03055800
0.59369100 -0.02962700
0.62434500 -0.02847600
0.65450800 -0.02711700
0.68406200 -0.02556300
0.71289000 -0.02384100
0.74087700 -0.02198100
0.76791300 -0.02001800
0.79389300 -0.01798500
0.81871200 -0.01592900
0.84227400 -0.01389200
0.86448400 -0.01190400
0.88525700 -0.01000100
0.90450800 -0.00822700
0.92216400 -0.00660500
0.93815300 -0.00514200
0.95241400 -0.00384400
0.96488800 -0.00271600
0.97552800 -0.00177000
0.98429200 -0.00103200
0.99114400 -0.00051200
0.99605700 -0.00020100
0.99901300 -0.00004800
1.00000000 0.00000000
