NACA 65(3)-218
1.00000000 0.00000000
0.95023000 0.00805000
0.90046000 0.01835000
0.85063000 0.02967000
0.80074000 0.04133000
0.75077000 0.05290000
0.70073000 0.06398000
0.65065000 0.07425000
0.60047000 0.08338000
0.55026000 0.09103000
0.50000000 0.09671000
0.44972000 0.09996000
0.39942000 0.10070000
0.34912000 0.09916000
0.29884000 0.09566000
0.24858000 0.09023000
0.19835000 0.08270000
0.14818000 0.07276000
0.09809000 0.05971000
0.07311000 0.05153000
0.04819000 0.04178000
0.02340000 0.02932000
0.01110000 0.02116000
0.00625000 0.01673000
0.00388000 0.01382000
0.00000000 0.00000000
0.00000000 0.00000000
0.00612000 -0.01282000
0.00875000 -0.01533000
0.01390000 -0.01902000
0.02660000 -0.02560000
0.05181000 -0.03546000
0.07689000 -0.04305000
0.10191000 -0.04937000
0.15182000 -0.05930000
0.20165000 -0.06676000
0.25142000 -0.07233000
0.30116000 -0.07622000
0.35088000 -0.07856000
0.40058000 -0.07928000
0.45028000 -0.07806000
0.50000000 -0.07465000
0.54974000 -0.06913000
0.59953000 -0.06196000
0.64937000 -0.05365000
0.69927000 -0.04454000
0.74923000 -0.03500000
0.79926000 -0.02541000
0.84937000 -0.01621000
0.89954000 -0.00801000
0.94977000 -0.00173000
1.00000000 0.00000000
