FX 84-W-097
1.00000000 0.00000000
0.99893000 0.00006000
0.99572000 0.00028000
0.99039000 0.00069000
0.98296000 0.00135000
0.97347000 0.00230000
0.96194000 0.00359000
0.94844000 0.00524000
0.93301000 0.00726000
0.91573000 0.00968000
0.89668000 0.01250000
0.87592000 0.01571000
0.85355000 0.01929000
0.82967000 0.02320000
0.80438000 0.02739000
0.77779000 0.03182000
0.75000000 0.03643000
0.72114000 0.04113000
0.69134000 0.04584000
0.66072000 0.05050000
0.62941000 0.05499000
0.59755000 0.05926000
0.56526000 0.06322000
0.53270000 0.06677000
0.50000000 0.06988000
0.46730000 0.07247000
0.43474000 0.07445000
0.40245000 0.07583000
0.37059000 0.07654000
0.33928000 0.07659000
0.30866000 0.07599000
0.27886000 0.07469000
0.25000000 0.07276000
0.22221000 0.07023000
0.19562000 0.06711000
0.17033000 0.06353000
0.14645000 0.05948000
0.12408000 0.05502000
0.10332000 0.05020000
0.08427000 0.04511000
0.06699000 0.03985000
0.05156000 0.03449000
0.03806000 0.02911000
0.02653000 0.02376000
0.01704000 0.01854000
0.00961000 0.01347000
0.00428000 0.00867000
0.00107000 0.00419000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00387000
0.00428000 -0.00742000
0.00961000 -0.01056000
0.01704000 -0.01329000
0.02653000 -0.01563000
0.03806000 -0.01761000
0.05156000 -0.01923000
0.06699000 -0.02052000
0.08427000 -0.02151000
0.10332000 -0.02221000
0.12408000 -0.02267000
0.14645000 -0.02292000
0.17033000 -0.02298000
0.19562000 -0.02288000
0.22221000 -0.02264000
0.25000000 -0.02230000
0.27886000 -0.02188000
0.30866000 -0.02138000
0.33928000 -0.02081000
0.37059000 -0.02019000
0.40245000 -0.01950000
0.43474000 -0.01876000
0.46730000 -0.01797000
0.50000000 -0.01711000
0.53270000 -0.01620000
0.56526000 -0.01521000
0.59755000 -0.01416000
0.62941000 -0.01305000
0.66072000 -0.01188000
0.69134000 -0.01068000
0.72114000 -0.00944000
0.75000000 -0.00819000
0.77779000 -0.00694000
0.80438000 -0.00574000
0.82967000 -0.00460000
0.85355000 -0.00354000
0.87592000 -0.00258000
0.89668000 -0.00175000
0.91573000 -0.00106000
0.93301000 -0.00052000
0.94844000 -0.00014000
0.96194000 0.00011000
0.97347000 0.00024000
0.98296000 0.00026000
0.99039000 0.00021000
0.99572000 0.00012000
0.99893000 0.00003000
1.00000000 0.00000000
