NACA 65(2)-415
1.00000000 0.00000000
0.95040000 0.01058000
0.90080000 0.02175000
0.85109000 0.03320000
0.80126000 0.04447000
0.75131000 0.05532000
0.70124000 0.06542000
0.65106000 0.07462000
0.60079000 0.08260000
0.55043000 0.08910000
0.50000000 0.09371000
0.44953000 0.09617000
0.39903000 0.09639000
0.34854000 0.09455000
0.29807000 0.09093000
0.24764000 0.08550000
0.19726000 0.07809000
0.14697000 0.06842000
0.09682000 0.05578000
0.07184000 0.04794000
0.04697000 0.03863000
0.02231000 0.02680000
0.01016000 0.01900000
0.00542000 0.01480000
0.00313000 0.01208000
0.00000000 0.00000000
0.00000000 0.00000000
0.00687000 -0.01008000
0.00958000 -0.01200000
0.01484000 -0.01472000
0.02769000 -0.01936000
0.05303000 -0.02599000
0.07816000 -0.03098000
0.10318000 -0.03510000
0.15303000 -0.04150000
0.20274000 -0.04625000
0.25236000 -0.04970000
0.30193000 -0.05205000
0.35146000 -0.05335000
0.40097000 -0.05355000
0.45047000 -0.05237000
0.50000000 -0.04962000
0.54957000 -0.04530000
0.59921000 -0.03976000
0.64894000 -0.03342000
0.69876000 -0.02654000
0.74869000 -0.01952000
0.79874000 -0.01263000
0.84891000 -0.00628000
0.89920000 -0.00107000
0.94960000 0.00206000
1.00000000 0.00000000
