FX 84-W-140
1.00000000 0.00000000
0.99893000 0.00014000
0.99572000 0.00060000
0.99039000 0.00146000
0.98296000 0.00278000
0.97347000 0.00461000
0.96194000 0.00701000
0.94844000 0.01001000
0.93301000 0.01362000
0.91573000 0.01784000
0.89668000 0.02264000
0.87592000 0.02801000
0.85355000 0.03386000
0.82967000 0.04015000
0.80438000 0.04677000
0.77779000 0.05360000
0.75000000 0.06057000
0.72114000 0.06753000
0.69134000 0.07436000
0.66072000 0.08095000
0.62941000 0.08715000
0.59755000 0.09286000
0.56526000 0.09801000
0.53270000 0.10244000
0.50000000 0.10612000
0.46730000 0.10898000
0.43474000 0.11092000
0.40245000 0.11198000
0.37059000 0.11210000
0.33928000 0.11127000
0.30866000 0.10955000
0.27886000 0.10690000
0.25000000 0.10342000
0.22221000 0.09918000
0.19562000 0.09421000
0.17033000 0.08867000
0.14645000 0.08258000
0.12408000 0.07601000
0.10332000 0.06905000
0.08427000 0.06179000
0.06699000 0.05439000
0.05156000 0.04693000
0.03806000 0.03950000
0.02653000 0.03220000
0.01704000 0.02510000
0.00961000 0.01832000
0.00428000 0.01180000
0.00107000 0.00564000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00509000
0.00428000 -0.00961000
0.00961000 -0.01369000
0.01704000 -0.01734000
0.02653000 -0.02047000
0.03806000 -0.02313000
0.05156000 -0.02534000
0.06699000 -0.02714000
0.08427000 -0.02856000
0.10332000 -0.02964000
0.12408000 -0.03042000
0.14645000 -0.03094000
0.17033000 -0.03122000
0.19562000 -0.03130000
0.22221000 -0.03121000
0.25000000 -0.03097000
0.27886000 -0.03060000
0.30866000 -0.03010000
0.33928000 -0.02948000
0.37059000 -0.02872000
0.40245000 -0.02784000
0.43474000 -0.02682000
0.46730000 -0.02565000
0.50000000 -0.02433000
0.53270000 -0.02286000
0.56526000 -0.02124000
0.59755000 -0.01948000
0.62941000 -0.01759000
0.66072000 -0.01561000
0.69134000 -0.01356000
0.72114000 -0.01148000
0.75000000 -0.00942000
0.77779000 -0.00742000
0.80438000 -0.00555000
0.82967000 -0.00383000
0.85355000 -0.00231000
0.87592000 -0.00103000
0.89668000 -0.00001000
0.91573000 0.00073000
0.93301000 0.00122000
0.94844000 0.00147000
0.96194000 0.00149000
0.97347000 0.00133000
0.98296000 0.00104000
0.99039000 0.00069000
0.99572000 0.00034000
0.99893000 0.00010000
1.00000000 0.00000000
