NACA 65(1)-412
1.00000000 0.00000000
0.95033000 0.00986000
0.90066000 0.01979000
0.85090000 0.02974000
0.80103000 0.03935000
0.75107000 0.04847000
0.70101000 0.05686000
0.65086000 0.06440000
0.60064000 0.07085000
0.55035000 0.07602000
0.50000000 0.07963000
0.44962000 0.08139000
0.39923000 0.08139000
0.34884000 0.07971000
0.29846000 0.07658000
0.24881000 0.07193000
0.19781000 0.06562000
0.14757000 0.05741000
0.09746000 0.04672000
0.07247000 0.04010000
0.04757000 0.03227000
0.02283000 0.02234000
0.01059000 0.01588000
0.00580000 0.01236000
0.00347000 0.01010000
0.00000000 0.00000000
0.00000000 0.00000000
0.00653000 -0.00810000
0.00920000 -0.00956000
0.01441000 -0.01160000
0.02717000 -0.01490000
0.05243000 -0.01963000
0.07753000 -0.02314000
0.10254000 -0.02604000
0.15243000 -0.03049000
0.20219000 -0.03378000
0.35189000 -0.03613000
0.40077000 -0.03855000
0.45038000 -0.03759000
0.50000000 -0.03551000
0.54965000 -0.03222000
0.59936000 -0.02801000
0.64914000 -0.02320000
0.69899000 -0.01798000
0.74893000 -0.01267000
0.79897000 -0.00751000
0.84910000 -0.00282000
0.89934000 0.00089000
0.94967000 0.00278000
1.00000000 0.00000000
