FX 76-MP-120
1.00000000 0.00000000
0.99893000 0.00056000
0.99572000 0.00272000
0.99039000 0.00521000
0.98296000 0.00815000
0.97347000 0.01154000
0.96194000 0.01553000
0.94844000 0.02008000
0.93301000 0.02517000
0.91573000 0.03079000
0.89668000 0.03694000
0.87592000 0.04364000
0.85355000 0.05087000
0.82967000 0.05863000
0.80438000 0.06688000
0.77779000 0.07552000
0.75000000 0.08430000
0.72114000 0.09291000
0.69134000 0.10106000
0.66072000 0.10851000
0.62941000 0.11511000
0.59755000 0.12076000
0.56526000 0.12543000
0.53270000 0.12912000
0.50000000 0.13186000
0.46730000 0.13366000
0.43474000 0.13456000
0.40245000 0.13457000
0.37059000 0.13369000
0.33928000 0.13195000
0.30866000 0.12936000
0.27886000 0.12593000
0.25000000 0.12169000
0.22221000 0.11668000
0.19562000 0.11094000
0.17033000 0.10451000
0.14645000 0.09746000
0.12408000 0.08983000
0.10332000 0.08169000
0.08427000 0.07311000
0.06699000 0.06418000
0.05156000 0.05503000
0.03806000 0.04583000
0.02653000 0.03673000
0.01704000 0.02791000
0.00961000 0.01955000
0.00428000 0.01191000
0.00107000 0.00523000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00444000
0.00428000 -0.00807000
0.00961000 -0.01097000
0.01704000 -0.01319000
0.02653000 -0.01458000
0.03806000 -0.01514000
0.05156000 -0.01494000
0.06699000 -0.01409000
0.08427000 -0.01268000
0.10332000 -0.01088000
0.12408000 -0.00879000
0.14645000 -0.00646000
0.17033000 -0.00398000
0.19562000 -0.00141000
0.22221000 0.00119000
0.25000000 0.00376000
0.27886000 0.00625000
0.30866000 0.00862000
0.33928000 0.01083000
0.37059000 0.01287000
0.40245000 0.01472000
0.43474000 0.01637000
0.46730000 0.01783000
0.50000000 0.01909000
0.53270000 0.02016000
0.56526000 0.02105000
0.59755000 0.02178000
0.62941000 0.02237000
0.66072000 0.02284000
0.69134000 0.02320000
0.72114000 0.02345000
0.75000000 0.02357000
0.77779000 0.02346000
0.80438000 0.02306000
0.82967000 0.02233000
0.85355000 0.02123000
0.87592000 0.01978000
0.89668000 0.01801000
0.91573000 0.01595000
0.93301000 0.01369000
0.94844000 0.01128000
0.96194000 0.00881000
0.97347000 0.00633000
0.98296000 0.00396000
0.99039000 0.00187000
0.99572000 0.00053000
0.99893000 0.00004000
1.00000000 0.00000000
