NACA 65(1)-212
1.00000000 0.00000000
0.95017000 0.00672000
0.90033000 0.01463000
0.85045000 0.02302000
0.80052000 0.03140000
0.75053000 0.03954000
0.70050000 0.04715000
0.65043000 0.05411000
0.60032000 0.06014000
0.55017000 0.06507000
0.50000000 0.06860000
0.44981000 0.07044000
0.39961000 0.07068000
0.34942000 0.06942000
0.29923000 0.06687000
0.24906000 0.06300000
0.19890000 0.05770000
0.14879000 0.05073000
0.09873000 0.04162000
0.07373000 0.03593000
0.04878000 0.02919000
0.02391000 0.02058000
0.01154000 0.01491000
0.00664000 0.01176000
0.00423000 0.00970000
0.00000000 0.00000000
0.00000000 0.00000000
0.00577000 -0.00870000
0.00836000 -0.01036000
0.01346000 -0.01277000
0.02609000 -0.01686000
0.05122000 -0.02287000
0.07627000 -0.02745000
0.10127000 -0.03128000
0.15121000 -0.03727000
0.20110000 -0.04178000
0.25094000 -0.04510000
0.30077000 -0.04743000
0.35058000 -0.04882000
0.40039000 -0.04926000
0.45019000 -0.04854000
0.50000000 -0.04654000
0.54983000 -0.04317000
0.59968000 -0.03872000
0.64957000 -0.03351000
0.69950000 -0.02771000
0.74947000 -0.02164000
0.79948000 -0.01548000
0.84955000 -0.00956000
0.89967000 -0.00429000
0.94983000 -0.00040000
1.00000000 0.00000000
