FX 73-CL1-152
1.00000000 0.00000000
0.99893000 0.00066000
0.99572000 0.00180000
0.99039000 0.00335000
0.98296000 0.00531000
0.97347000 0.00762000
0.96194000 0.01025000
0.94844000 0.01320000
0.93301000 0.01644000
0.91573000 0.01997000
0.89668000 0.02387000
0.87592000 0.02815000
0.85355000 0.03279000
0.82967000 0.03772000
0.80438000 0.04294000
0.77779000 0.04848000
0.75000000 0.05432000
0.72114000 0.06043000
0.69134000 0.06675000
0.66072000 0.07327000
0.62941000 0.07993000
0.59755000 0.08667000
0.56526000 0.09342000
0.53270000 0.10009000
0.50000000 0.10658000
0.46730000 0.11278000
0.43474000 0.11856000
0.40245000 0.12380000
0.37059000 0.12833000
0.33928000 0.13184000
0.30866000 0.13392000
0.27886000 0.13434000
0.25000000 0.13311000
0.22221000 0.13043000
0.19562000 0.12631000
0.17033000 0.12067000
0.14645000 0.11363000
0.12408000 0.10547000
0.10332000 0.09648000
0.08427000 0.08687000
0.06699000 0.07673000
0.05156000 0.06625000
0.03806000 0.05574000
0.02653000 0.04533000
0.01704000 0.03513000
0.00961000 0.02525000
0.00428000 0.01607000
0.00107000 0.00778000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00756000
0.00428000 -0.01485000
0.00961000 -0.02115000
0.01704000 -0.02595000
0.02653000 -0.02925000
0.03806000 -0.03132000
0.05156000 -0.03252000
0.06699000 -0.03293000
0.08427000 -0.03276000
0.10332000 -0.03207000
0.12408000 -0.03091000
0.14645000 -0.02928000
0.17033000 -0.02709000
0.19562000 -0.02454000
0.22221000 -0.02175000
0.25000000 -0.01882000
0.27886000 -0.01589000
0.30866000 -0.01296000
0.33928000 -0.01008000
0.37059000 -0.00726000
0.40245000 -0.00460000
0.43474000 -0.00215000
0.46730000 0.00009000
0.50000000 0.00214000
0.53270000 0.00398000
0.56526000 0.00560000
0.59755000 0.00697000
0.62941000 0.00808000
0.66072000 0.00892000
0.69134000 0.00950000
0.72114000 0.00988000
0.75000000 0.01004000
0.77779000 0.00997000
0.80438000 0.00965000
0.82967000 0.00915000
0.85355000 0.00852000
0.87592000 0.00777000
0.89668000 0.00694000
0.91573000 0.00602000
0.93301000 0.00505000
0.94844000 0.00403000
0.96194000 0.00301000
0.97347000 0.00201000
0.98296000 0.00111000
0.99039000 0.00039000
0.99572000 -0.00006000
0.99893000 -0.00020000
1.00000000 0.00000000
