NACA 66(2)-415
1.00000000 0.00000000
0.95053000 0.01196000
0.90104000 0.02519000
0.85139000 0.03872000
0.80159000 0.05187000
0.75162000 0.06419000
0.70150000 0.07518000
0.65126000 0.08431000
0.60090000 0.09100000
0.55046000 0.09473000
0.50000000 0.09656000
0.44952000 0.09685000
0.39904000 0.09571000
0.34857000 0.09309000
0.29812000 0.08897000
0.24771000 0.08329000
0.19736000 0.07581000
0.14709000 0.06624000
0.09696000 0.05381000
0.07199000 0.04617000
0.04711000 0.03718000
0.02241000 0.02592000
0.01019000 0.01873000
0.00544000 0.01467000
0.00314000 0.01206000
0.00000000 0.00000000
0.00000000 0.00000000
0.00686000 -0.01006000
0.00956000 -0.01187000
0.01481000 -0.01445000
0.02759000 -0.01848000
0.05289000 -0.02454000
0.07801000 -0.02921000
0.10304000 -0.03313000
0.15291000 -0.03932000
0.20264000 -0.04397000
0.25229000 -0.04749000
0.30188000 -0.05009000
0.35143000 -0.05189000
0.40096000 -0.05287000
0.45048000 -0.05305000
0.50000000 -0.05244000
0.54954000 -0.05093000
0.59910000 -0.04816000
0.64874000 -0.04311000
0.69850000 -0.03630000
0.74838000 -0.02839000
0.79841000 -0.02003000
0.84861000 -0.01180000
0.89896000 -0.00451000
0.94947000 0.00068000
1.00000000 0.00000000
