FX 74-CL6-140
1.00000000 0.00000000
0.99893000 0.00037000
0.99572000 0.00164000
0.99039000 0.00342000
0.98296000 0.00574000
0.97347000 0.00846000
0.96194000 0.01154000
0.94844000 0.01496000
0.93301000 0.01869000
0.91573000 0.02277000
0.89668000 0.02724000
0.87592000 0.03213000
0.85355000 0.03742000
0.82967000 0.04303000
0.80438000 0.04892000
0.77779000 0.05513000
0.75000000 0.06159000
0.72114000 0.06828000
0.69134000 0.07517000
0.66072000 0.08219000
0.62941000 0.08933000
0.59755000 0.09654000
0.56526000 0.10379000
0.53270000 0.11100000
0.50000000 0.11809000
0.46730000 0.12491000
0.43474000 0.13110000
0.40245000 0.13615000
0.37059000 0.13958000
0.33928000 0.14115000
0.30866000 0.14093000
0.27886000 0.13910000
0.25000000 0.13580000
0.22221000 0.13115000
0.19562000 0.12525000
0.17033000 0.11826000
0.14645000 0.11037000
0.12408000 0.10174000
0.10332000 0.09250000
0.08427000 0.08281000
0.06699000 0.07280000
0.05156000 0.06262000
0.03806000 0.05247000
0.02653000 0.04259000
0.01704000 0.03304000
0.00961000 0.02402000
0.00428000 0.01533000
0.00107000 0.00701000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00514000
0.00428000 -0.00819000
0.00961000 -0.00993000
0.01704000 -0.01115000
0.02653000 -0.01188000
0.03806000 -0.01223000
0.05156000 -0.01220000
0.06699000 -0.01181000
0.08427000 -0.01106000
0.10332000 -0.01003000
0.12408000 -0.00886000
0.14645000 -0.00759000
0.17033000 -0.00627000
0.19562000 -0.00491000
0.22221000 -0.00353000
0.25000000 -0.00217000
0.27886000 -0.00086000
0.30866000 0.00039000
0.33928000 0.00157000
0.37059000 0.00267000
0.40245000 0.00371000
0.43474000 0.00471000
0.46730000 0.00571000
0.50000000 0.00679000
0.53270000 0.00795000
0.56526000 0.00927000
0.59755000 0.01088000
0.62941000 0.01285000
0.66072000 0.01507000
0.69134000 0.01722000
0.72114000 0.01899000
0.75000000 0.02016000
0.77779000 0.02069000
0.80438000 0.02062000
0.82967000 0.02001000
0.85355000 0.01890000
0.87592000 0.01736000
0.89668000 0.01553000
0.91573000 0.01349000
0.93301000 0.01135000
0.94844000 0.00913000
0.96194000 0.00696000
0.97347000 0.00497000
0.98296000 0.00326000
0.99039000 0.00188000
0.99572000 0.00087000
0.99893000 0.00020000
1.00000000 0.00000000
