NACA 64(4)-421
1.00000000 0.00000000
0.95042000 0.01079000
0.90087000 0.02276000
0.85122000 0.03556000
0.80145000 0.04876000
0.75154000 0.06203000
0.70150000 0.07491000
0.65131000 0.08708000
0.60099000 0.09819000
0.55055000 0.10797000
0.50000000 0.11610000
0.44936000 0.12220000
0.39865000 0.12572000
0.34794000 0.12539000
0.29723000 0.12209000
0.24657000 0.11591000
0.19599000 0.10678000
0.14553000 0.09442000
0.09528000 0.07786000
0.07028000 0.06744000
0.04545000 0.05482000
0.02096000 0.03834000
0.00903000 0.02707000
0.00445000 0.02101000
0.00227000 0.01723000
0.00000000 0.00000000
0.00000000 0.00000000
0.00773000 -0.01523000
0.01055000 -0.01821000
0.01597000 -0.02279000
0.02904000 -0.03090000
0.05455000 -0.04218000
0.07972000 -0.05048000
0.10472000 -0.05718000
0.15447000 -0.06750000
0.20401000 -0.07494000
0.25343000 -0.08011000
0.30277000 -0.08321000
0.35206000 -0.08419000
0.40135000 -0.08288000
0.45064000 -0.07840000
0.50000000 -0.07198000
0.54945000 -0.06417000
0.59901000 -0.05535000
0.64869000 -0.04588000
0.69850000 -0.03603000
0.74846000 -0.02623000
0.79855000 -0.01692000
0.84878000 -0.00864000
0.89913000 -0.00208000
0.94958000 0.00185000
1.00000000 0.00000000
