137 1
1.0000000 0.0000000 0.0015170
0.9993980 0.0000000 0.0018186
0.9975920 0.0000000 0.0027016
0.9945880 0.0000000 0.0041017
0.9903930 0.0000000 0.0059231
0.9850160 0.0000000 0.0080525
0.9784700 0.0000000 0.0103729
0.9707720 0.0000000 0.0127796
0.9619400 0.0000000 0.0151924
0.9519950 0.0000000 0.0175618
0.9409610 0.0000000 0.0198700
0.9288640 0.0000000 0.0221279
0.9157350 0.0000000 0.0243653
0.9016040 0.0000000 0.0266225
0.8865050 0.0000000 0.0289380
0.8704760 0.0000000 0.0313399
0.8535530 0.0000000 0.0338402
0.8357790 0.0000000 0.0364303
0.8171970 0.0000000 0.0390832
0.7978500 0.0000000 0.0417566
0.7777850 0.0000000 0.0443978
0.7570510 0.0000000 0.0469509
0.7356980 0.0000000 0.0493630
0.7137780 0.0000000 0.0515897
0.6913420 0.0000000 0.0535993
0.6684450 0.0000000 0.0553744
0.6451420 0.0000000 0.0569124
0.6214900 0.0000000 0.0582237
0.5975450 0.0000000 0.0593284
0.5733650 0.0000000 0.0602524
0.5490090 0.0000000 0.0610223
0.5245340 0.0000000 0.0616616
0.5000000 0.0000000 0.0621865
0.4754660 0.0000000 0.0626044
0.4509910 0.0000000 0.0629128
0.4266350 0.0000000 0.0631008
0.4024550 0.0000000 0.0631516
0.3785100 0.0000000 0.0630453
0.3548580 0.0000000 0.0627632
0.3315550 0.0000000 0.0622899
0.3086580 0.0000000 0.0616158
0.2862220 0.0000000 0.0607377
0.2643020 0.0000000 0.0596581
0.2429490 0.0000000 0.0583838
0.2222150 0.0000000 0.0569245
0.2021500 0.0000000 0.0552907
0.1828030 0.0000000 0.0534930
0.1642210 0.0000000 0.0515418
0.1464470 0.0000000 0.0494468
0.1295240 0.0000000 0.0472181
0.1134950 0.0000000 0.0448664
0.0983960 0.0000000 0.0424017
0.0842650 0.0000000 0.0398331
0.0711360 0.0000000 0.0371668
0.0590390 0.0000000 0.0344040
0.0480050 0.0000000 0.0315411
0.0380600 0.0000000 0.0285686
0.0292280 0.0000000 0.0254730
0.0215300 0.0000000 0.0222398
0.0149840 0.0000000 0.0188575
0.0096070 0.0000000 0.0153228
0.0054120 0.0000000 0.0116435
0.0036000 0.0000000 0.0095495
0.0024080 0.0000000 0.0078394
0.0018000 0.0000000 0.0067910
0.0012000 0.0000000 0.0055554
0.0006020 0.0000000 0.0039423
0.0003000 0.0000000 0.0027857
0.0000000 0.0000000 0.0000000
0.0003000 0.0000000 -0.0024767
0.0006020 0.0000000 -0.0035041
0.0012000 0.0000000 -0.0049353
0.0018000 0.0000000 -0.0060298
0.0024080 0.0000000 -0.0069571
0.0036000 0.0000000 -0.0084663
0.0054120 0.0000000 -0.0103076
0.0096070 0.0000000 -0.0135220
0.0149840 0.0000000 -0.0165823
0.0215300 0.0000000 -0.0194863
0.0292280 0.0000000 -0.0222463
0.0380600 0.0000000 -0.0248852
0.0480050 0.0000000 -0.0274304
0.0590390 0.0000000 -0.0299081
0.0711360 0.0000000 -0.0323392
0.0842650 0.0000000 -0.0347363
0.0983960 0.0000000 -0.0371038
0.1134950 0.0000000 -0.0394384
0.1295240 0.0000000 -0.0417307
0.1464470 0.0000000 -0.0439689
0.1642210 0.0000000 -0.0461388
0.1828030 0.0000000 -0.0482258
0.2021500 0.0000000 -0.0502148
0.2222150 0.0000000 -0.0520886
0.2429490 0.0000000 -0.0538270
0.2643020 0.0000000 -0.0554057
0.2862220 0.0000000 -0.0567965
0.3086580 0.0000000 -0.0579673
0.3315550 0.0000000 -0.0588843
0.3548580 0.0000000 -0.0595140
0.3785100 0.0000000 -0.0598255
0.4024550 0.0000000 -0.0597923
0.4266350 0.0000000 -0.0593937
0.4509910 0.0000000 -0.0586150
0.4754660 0.0000000 -0.0574471
0.5000000 0.0000000 -0.0558859
0.5245340 0.0000000 -0.0539323
0.5490090 0.0000000 -0.0515919
0.5733650 0.0000000 -0.0488763
0.5975450 0.0000000 -0.0458046
0.6214900 0.0000000 -0.0424051
0.6451420 0.0000000 -0.0387176
0.6684450 0.0000000 -0.0347933
0.6913420 0.0000000 -0.0306950
0.7137780 0.0000000 -0.0264949
0.7356980 0.0000000 -0.0222710
0.7570510 0.0000000 -0.0181030
0.7777850 0.0000000 -0.0140685
0.7978500 0.0000000 -0.0102387
0.8171970 0.0000000 -0.0066770
0.8357790 0.0000000 -0.0034366
0.8535530 0.0000000 -0.0005618
0.8704760 0.0000000 0.0019111
0.8865050 0.0000000 0.0039520
0.9016040 0.0000000 0.0055380
0.9157350 0.0000000 0.0066525
0.9288640 0.0000000 0.0072889
0.9409610 0.0000000 0.0074541
0.9519950 0.0000000 0.0071728
0.9619400 0.0000000 0.0064917
0.9707720 0.0000000 0.0054816
0.9784700 0.0000000 0.0042373
0.9850160 0.0000000 0.0028729
0.9903930 0.0000000 0.0015152
0.9945880 0.0000000 0.0002924
0.9975920 0.0000000 -0.0006783
0.9993980 0.0000000 -0.0013021
1.0000000 0.0000000 -0.0015170
