137 1
1.0000000 0.0000000 0.0015170
0.9993980 0.0000000 0.0018117
0.9975920 0.0000000 0.0026741
0.9945880 0.0000000 0.0040399
0.9903930 0.0000000 0.0058136
0.9850160 0.0000000 0.0078818
0.9784700 0.0000000 0.0101277
0.9707720 0.0000000 0.0124466
0.9619400 0.0000000 0.0147580
0.9519950 0.0000000 0.0170124
0.9409610 0.0000000 0.0191920
0.9288640 0.0000000 0.0213078
0.9157350 0.0000000 0.0233907
0.9016040 0.0000000 0.0254831
0.8865050 0.0000000 0.0276269
0.8704760 0.0000000 0.0298552
0.8535530 0.0000000 0.0321860
0.8357790 0.0000000 0.0346178
0.8171970 0.0000000 0.0371303
0.7978500 0.0000000 0.0396870
0.7777850 0.0000000 0.0422385
0.7570510 0.0000000 0.0447287
0.7356980 0.0000000 0.0471004
0.7137780 0.0000000 0.0493006
0.6913420 0.0000000 0.0512853
0.6684450 0.0000000 0.0530222
0.6451420 0.0000000 0.0544930
0.6214900 0.0000000 0.0556934
0.5975450 0.0000000 0.0566322
0.5733650 0.0000000 0.0573287
0.5490090 0.0000000 0.0578090
0.5245340 0.0000000 0.0581022
0.5000000 0.0000000 0.0582362
0.4754660 0.0000000 0.0582351
0.4509910 0.0000000 0.0581162
0.4266350 0.0000000 0.0578900
0.4024550 0.0000000 0.0575602
0.3785100 0.0000000 0.0571261
0.3548580 0.0000000 0.0565841
0.3315550 0.0000000 0.0559299
0.3086580 0.0000000 0.0551604
0.2862220 0.0000000 0.0542739
0.2643020 0.0000000 0.0532703
0.2429490 0.0000000 0.0521498
0.2222150 0.0000000 0.0509122
0.2021500 0.0000000 0.0495563
0.1828030 0.0000000 0.0480793
0.1642210 0.0000000 0.0464781
0.1464470 0.0000000 0.0447496
0.1295240 0.0000000 0.0428924
0.1134950 0.0000000 0.0409078
0.0983960 0.0000000 0.0387987
0.0842650 0.0000000 0.0365703
0.0711360 0.0000000 0.0342268
0.0590390 0.0000000 0.0317698
0.0480050 0.0000000 0.0291975
0.0380600 0.0000000 0.0265031
0.0292280 0.0000000 0.0236763
0.0215300 0.0000000 0.0207053
0.0149840 0.0000000 0.0175813
0.0096070 0.0000000 0.0143027
0.0054120 0.0000000 0.0108786
0.0036000 0.0000000 0.0089258
0.0024080 0.0000000 0.0073294
0.0018000 0.0000000 0.0063500
0.0012000 0.0000000 0.0051954
0.0006020 0.0000000 0.0036874
0.0003000 0.0000000 0.0026057
0.0000000 0.0000000 0.0000000
0.0003000 0.0000000 -0.0024867
0.0006020 0.0000000 -0.0035183
0.0012000 0.0000000 -0.0049553
0.0018000 0.0000000 -0.0060543
0.0024080 0.0000000 -0.0069855
0.0036000 0.0000000 -0.0085009
0.0054120 0.0000000 -0.0103500
0.0096070 0.0000000 -0.0135784
0.0149840 0.0000000 -0.0166526
0.0215300 0.0000000 -0.0195702
0.0292280 0.0000000 -0.0223431
0.0380600 0.0000000 -0.0249933
0.0480050 0.0000000 -0.0275470
0.0590390 0.0000000 -0.0300290
0.0711360 0.0000000 -0.0324586
0.0842650 0.0000000 -0.0348468
0.0983960 0.0000000 -0.0371971
0.1134950 0.0000000 -0.0395052
0.1295240 0.0000000 -0.0417616
0.1464470 0.0000000 -0.0439544
0.1642210 0.0000000 -0.0460690
0.1828030 0.0000000 -0.0480905
0.2021500 0.0000000 -0.0500019
0.2222150 0.0000000 -0.0517837
0.2429490 0.0000000 -0.0534121
0.2643020 0.0000000 -0.0548590
0.2862220 0.0000000 -0.0560925
0.3086580 0.0000000 -0.0570782
0.3315550 0.0000000 -0.0577821
0.3548580 0.0000000 -0.0581731
0.3785100 0.0000000 -0.0582260
0.4024550 0.0000000 -0.0579233
0.4266350 0.0000000 -0.0572554
0.4509910 0.0000000 -0.0562205
0.4754660 0.0000000 -0.0548222
0.5000000 0.0000000 -0.0530681
0.5245340 0.0000000 -0.0509680
0.5490090 0.0000000 -0.0485332
0.5733650 0.0000000 -0.0457774
0.5975450 0.0000000 -0.0427175
0.6214900 0.0000000 -0.0393770
0.6451420 0.0000000 -0.0357885
0.6684450 0.0000000 -0.0319945
0.6913420 0.0000000 -0.0280493
0.7137780 0.0000000 -0.0240168
0.7356980 0.0000000 -0.0199684
0.7570510 0.0000000 -0.0159784
0.7777850 0.0000000 -0.0121205
0.7978500 0.0000000 -0.0084637
0.8171970 0.0000000 -0.0050696
0.8357790 0.0000000 -0.0019909
0.8535530 0.0000000 0.0007288
0.8704760 0.0000000 0.0030535
0.8865050 0.0000000 0.0049534
0.9016040 0.0000000 0.0064061
0.9157350 0.0000000 0.0073956
0.9288640 0.0000000 0.0079157
0.9409610 0.0000000 0.0079738
0.9519950 0.0000000 0.0075949
0.9619400 0.0000000 0.0068259
0.9707720 0.0000000 0.0057381
0.9784700 0.0000000 0.0044261
0.9850160 0.0000000 0.0030043
0.9903930 0.0000000 0.0015994
0.9945880 0.0000000 0.0003398
0.9975920 0.0000000 -0.0006571
0.9993980 0.0000000 -0.0012968
1.0000000 0.0000000 -0.0015170
