137 1
1.0000000 0.0000000 0.0015170
0.9993980 0.0000000 0.0018193
0.9975920 0.0000000 0.0027047
0.9945880 0.0000000 0.0041086
0.9903930 0.0000000 0.0059355
0.9850160 0.0000000 0.0080718
0.9784700 0.0000000 0.0104008
0.9707720 0.0000000 0.0128176
0.9619400 0.0000000 0.0152419
0.9519950 0.0000000 0.0176242
0.9409610 0.0000000 0.0199467
0.9288640 0.0000000 0.0222201
0.9157350 0.0000000 0.0244748
0.9016040 0.0000000 0.0267515
0.8865050 0.0000000 0.0290895
0.8704760 0.0000000 0.0315180
0.8535530 0.0000000 0.0340504
0.8357790 0.0000000 0.0366798
0.8171970 0.0000000 0.0393805
0.7978500 0.0000000 0.0421116
0.7777850 0.0000000 0.0448211
0.7570510 0.0000000 0.0474530
0.7356980 0.0000000 0.0499534
0.7137780 0.0000000 0.0522756
0.6913420 0.0000000 0.0543844
0.6684450 0.0000000 0.0562580
0.6451420 0.0000000 0.0578881
0.6214900 0.0000000 0.0592786
0.5975450 0.0000000 0.0604429
0.5733650 0.0000000 0.0613999
0.5490090 0.0000000 0.0621696
0.5245340 0.0000000 0.0627694
0.5000000 0.0000000 0.0632109
0.4754660 0.0000000 0.0634983
0.4509910 0.0000000 0.0636280
0.4266350 0.0000000 0.0635903
0.4024550 0.0000000 0.0633722
0.3785100 0.0000000 0.0629604
0.3548580 0.0000000 0.0623449
0.3315550 0.0000000 0.0615217
0.3086580 0.0000000 0.0604939
0.2862220 0.0000000 0.0592715
0.2643020 0.0000000 0.0578705
0.2429490 0.0000000 0.0563097
0.2222150 0.0000000 0.0546090
0.2021500 0.0000000 0.0527863
0.1828030 0.0000000 0.0508566
0.1642210 0.0000000 0.0488312
0.1464470 0.0000000 0.0467178
0.1295240 0.0000000 0.0445220
0.1134950 0.0000000 0.0422480
0.0983960 0.0000000 0.0398982
0.0842650 0.0000000 0.0374738
0.0711360 0.0000000 0.0349736
0.0590390 0.0000000 0.0323922
0.0480050 0.0000000 0.0297208
0.0380600 0.0000000 0.0269457
0.0292280 0.0000000 0.0240507
0.0215300 0.0000000 0.0210196
0.0149840 0.0000000 0.0178400
0.0096070 0.0000000 0.0145084
0.0054120 0.0000000 0.0110325
0.0036000 0.0000000 0.0090512
0.0024080 0.0000000 0.0074319
0.0018000 0.0000000 0.0064386
0.0012000 0.0000000 0.0052677
0.0006020 0.0000000 0.0037385
0.0003000 0.0000000 0.0026418
0.0000000 0.0000000 0.0000000
0.0003000 0.0000000 -0.0024551
0.0006020 0.0000000 -0.0034736
0.0012000 0.0000000 -0.0048922
0.0018000 0.0000000 -0.0059771
0.0024080 0.0000000 -0.0068961
0.0036000 0.0000000 -0.0083917
0.0054120 0.0000000 -0.0102163
0.0096070 0.0000000 -0.0134010
0.0149840 0.0000000 -0.0164328
0.0215300 0.0000000 -0.0193103
0.0292280 0.0000000 -0.0220460
0.0380600 0.0000000 -0.0246624
0.0480050 0.0000000 -0.0271849
0.0590390 0.0000000 -0.0296355
0.0711360 0.0000000 -0.0320284
0.0842650 0.0000000 -0.0343664
0.0983960 0.0000000 -0.0366419
0.1134950 0.0000000 -0.0388369
0.1295240 0.0000000 -0.0409271
0.1464470 0.0000000 -0.0428860
0.1642210 0.0000000 -0.0446875
0.1828030 0.0000000 -0.0463096
0.2021500 0.0000000 -0.0477350
0.2222150 0.0000000 -0.0489515
0.2429490 0.0000000 -0.0499506
0.2643020 0.0000000 -0.0507264
0.2862220 0.0000000 -0.0512738
0.3086580 0.0000000 -0.0515879
0.3315550 0.0000000 -0.0516631
0.3548580 0.0000000 -0.0514935
0.3785100 0.0000000 -0.0510735
0.4024550 0.0000000 -0.0503985
0.4266350 0.0000000 -0.0494646
0.4509910 0.0000000 -0.0482694
0.4754660 0.0000000 -0.0468109
0.5000000 0.0000000 -0.0450881
0.5245340 0.0000000 -0.0431000
0.5490090 0.0000000 -0.0408473
0.5733650 0.0000000 -0.0383329
0.5975450 0.0000000 -0.0355644
0.6214900 0.0000000 -0.0325565
0.6451420 0.0000000 -0.0293333
0.6684450 0.0000000 -0.0259293
0.6913420 0.0000000 -0.0223905
0.7137780 0.0000000 -0.0187727
0.7356980 0.0000000 -0.0151397
0.7570510 0.0000000 -0.0115585
0.7777850 0.0000000 -0.0080973
0.7978500 0.0000000 -0.0048208
0.8171970 0.0000000 -0.0017880
0.8357790 0.0000000 0.0009496
0.8535530 0.0000000 0.0033482
0.8704760 0.0000000 0.0053709
0.8865050 0.0000000 0.0069871
0.9016040 0.0000000 0.0081732
0.9157350 0.0000000 0.0089129
0.9288640 0.0000000 0.0091999
0.9409610 0.0000000 0.0090420
0.9519950 0.0000000 0.0084650
0.9619400 0.0000000 0.0075166
0.9707720 0.0000000 0.0062689
0.9784700 0.0000000 0.0048173
0.9850160 0.0000000 0.0032766
0.9903930 0.0000000 0.0017740
0.9945880 0.0000000 0.0004382
0.9975920 0.0000000 -0.0006134
0.9993980 0.0000000 -0.0012859
1.0000000 0.0000000 -0.0015170
